TFLite_operator,NNG Operator,SRAM Usage,Peak%,Op Cycles,Network%,NPU,SRAM AC,DRAM AC,OnFlash AC,OffFlash AC,MAC Count,Network%,Util%,Name
CONV_2D,Conv2DBias,553200,36.64508060327925,145432.0,2.9004878887399075,102032.0,145432.0,0.0,0.0,0.0,14450688,4.756253388792623,38.81401617250674,functional_2_1/mobilenetv2_1.00_224_1/Conv1_relu_1/Relu6;functional_2_1/mobilenetv2_1.00_224_1/bn_Conv1_1/batchnorm/add_1;functional_2_1/mobilenetv2_1.00_224_1/Conv1_1/convolution;functional_2_1/mobilenetv2_1.00_224_1/bn_Conv1_1/batchnorm/sub1
DEPTHWISE_CONV_2D,DepthwiseConv2DBias,803520,53.22678085022946,151312.0,3.0177582885541896,151312.0,115712.0,0.0,0.0,0.0,3612672,1.1890633471981558,9.32642487046632,functional_2_1/mobilenetv2_1.00_224_1/expanded_conv_depthwise_relu_1/Relu6;functional_2_1/mobilenetv2_1.00_224_1/expanded_conv_depthwise_BN_1/batchnorm/add_1;functional_2_1/mobilenetv2_1.00_224_1/expanded_conv_depthwise_BN_1/batchnorm/mul_1;functional_2_1/mobilenetv2_1.00_224_1/expanded_conv_depthwise_1/depthwise;functional_2_1/mobilenetv2_1.00_224_1/expanded_conv_depthwise_BN_1/batchnorm/mul;functional_2_1/mobilenetv2_1.00_224_1/expanded_conv_depthwise_BN_1/batchnorm/sub
CONV_2D,Conv2DBias,602736,39.92644487074859,75264.0,1.5010611176228092,50576.0,75264.0,0.0,0.0,0.0,6422528,2.1138903950189434,33.33333333333333,functional_2_1/mobilenetv2_1.00_224_1/expanded_conv_project_BN_1/batchnorm/add_1;functional_2_1/mobilenetv2_1.00_224_1/expanded_conv_project_1/convolution;functional_2_1/mobilenetv2_1.00_224_1/expanded_conv_project_BN_1/batchnorm/sub
CONV_2D,Conv2DBias,1407872,93.26027281109897,306994.0,6.122671619147225,306994.0,201600.0,0.0,0.0,0.0,19267584,6.341671185056831,24.516440060717798,functional_2_1/mobilenetv2_1.00_224_1/block_1_expand_relu_1/Relu6;functional_2_1/mobilenetv2_1.00_224_1/block_1_expand_BN_1/batchnorm/add_1;functional_2_1/mobilenetv2_1.00_224_1/block_1_expand_1/convolution;functional_2_1/mobilenetv2_1.00_224_1/block_1_expand_BN_1/batchnorm/sub
DEPTHWISE_CONV_2D,DepthwiseConv2DBias,1507264,99.84419878962598,243552.0,4.857387825776872,130262.0,243552.0,0.0,0.0,0.0,2709504,0.8917975103986169,4.345683878596768,functional_2_1/mobilenetv2_1.00_224_1/block_1_depthwise_relu_1/Relu6;functional_2_1/mobilenetv2_1.00_224_1/block_1_depthwise_BN_1/batchnorm/add_1;functional_2_1/mobilenetv2_1.00_224_1/block_1_depthwise_BN_1/batchnorm/mul_1;functional_2_1/mobilenetv2_1.00_224_1/block_1_depthwise_1/depthwise;functional_2_1/mobilenetv2_1.00_224_1/block_1_depthwise_BN_1/batchnorm/mul;functional_2_1/mobilenetv2_1.00_224_1/block_1_depthwise_BN_1/batchnorm/sub
CONV_2D,Conv2DBias,403760,26.745874447541627,50176.0,1.0007074117485395,28896.0,50176.0,0.0,0.0,0.0,7225344,2.3781266943963115,56.25,functional_2_1/mobilenetv2_1.00_224_1/block_1_project_BN_1/batchnorm/add_1;functional_2_1/mobilenetv2_1.00_224_1/block_1_project_1/convolution;functional_2_1/mobilenetv2_1.00_224_1/block_1_project_BN_1/batchnorm/sub
CONV_2D,Conv2DBias,557344,36.91958749774777,121543.0,2.424046973576067,121543.0,96768.0,0.0,0.0,0.0,10838016,3.5671900415944675,34.83211702854134,functional_2_1/mobilenetv2_1.00_224_1/block_2_expand_relu_1/Relu6;functional_2_1/mobilenetv2_1.00_224_1/block_2_expand_BN_1/batchnorm/add_1;functional_2_1/mobilenetv2_1.00_224_1/block_2_expand_1/convolution;functional_2_1/mobilenetv2_1.00_224_1/block_2_expand_BN_1/batchnorm/sub
DEPTHWISE_CONV_2D,DepthwiseConv2DBias,1006480,66.6712594461108,170128.0,3.3930235679598924,170128.0,130176.0,0.0,0.0,0.0,4064256,1.3376962655979252,9.331797235023041,functional_2_1/mobilenetv2_1.00_224_1/block_2_depthwise_relu_1/Relu6;functional_2_1/mobilenetv2_1.00_224_1/block_2_depthwise_BN_1/batchnorm/add_1;functional_2_1/mobilenetv2_1.00_224_1/block_2_depthwise_BN_1/batchnorm/mul_1;functional_2_1/mobilenetv2_1.00_224_1/block_2_depthwise_1/depthwise;functional_2_1/mobilenetv2_1.00_224_1/block_2_depthwise_BN_1/batchnorm/mul;functional_2_1/mobilenetv2_1.00_224_1/block_2_depthwise_BN_1/batchnorm/sub
CONV_2D,Conv2DBias,656160,43.465358077815814,68992.0,1.375972691154242,47840.0,68992.0,0.0,0.0,0.0,10838016,3.5671900415944675,61.36363636363637,functional_2_1/mobilenetv2_1.00_224_1/block_2_project_BN_1/batchnorm/add_1;functional_2_1/mobilenetv2_1.00_224_1/block_2_project_1/convolution;functional_2_1/mobilenetv2_1.00_224_1/block_2_project_BN_1/batchnorm/sub
ADD,Add,200704,13.2950366185838,75264.0,1.5010611176228092,75264.0,37632.0,0.0,0.0,0.0,0,0.0,0.0,functional_2_1/mobilenetv2_1.00_224_1/block_2_add_1/Add
